#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,2297190,N/A,121407,N/A,956061,N/A,1219722,16533,6941,367,27337385,82604
2,Brazil,1038568,N/A,49090,N/A,520360,N/A,469118,8318,4887,231,2409830,11340
3,Russia,569063,N/A,7841,N/A,324406,N/A,236816,2300,3899,54,16321964,111846
4,India,395812,N/A,12970,N/A,214206,,168636,8944,287,9,6426627,4658
5,UK,301815,N/A,42461,N/A,N/A,N/A,N/A,379,4447,626,7433114,109511
6,Spain,292655,N/A,28315,N/A,N/A,N/A,N/A,617,6259,606,4826516,103232
7,Peru,247925,N/A,7660,N/A,135520,N/A,104745,1130,7523,232,1461266,44340
8,Italy,238011,N/A,34561,N/A,181907,N/A,21543,161,3936,572,4889103,80859
9,Chile,231393,N/A,4093,N/A,191491,N/A,35809,1911,12108,214,923513,48324
10,Iran,200262,N/A,9392,N/A,159192,N/A,31678,2833,2385,112,1370718,16327
11,Germany,190660,N/A,8960,N/A,174400,N/A,7300,376,2276,107,5029696,60037
12,Turkey,185245,N/A,4905,N/A,157516,N/A,22824,769,2197,58,2863632,33966
13,Mexico,170485,+5030,20394,+647,127332,+4237,22759,378,1323,158,465867,3614
14,Pakistan,165062,N/A,3229,N/A,61383,N/A,100450,111,748,15,1011106,4581
15,France,159452,N/A,29617,N/A,74117,N/A,55718,727,2443,454,1384633,21214
16,Saudi Arabia,150292,N/A,1184,N/A,95764,N/A,53344,1941,4319,34,1224289,35186
17,Bangladesh,105535,N/A,1388,N/A,42945,N/A,61202,1,641,8,585548,3557
18,Canada,100629,N/A,8346,N/A,63003,N/A,29280,1990,2667,221,2339563,62005
19,South Africa,87715,N/A,1831,N/A,47825,N/A,38059,208,1480,31,1260434,21261
20,Qatar,85462,N/A,93,N/A,65409,N/A,19960,221,30437,33,313501,111653
21,Colombia,63276,N/A,2045,N/A,23988,N/A,37243,335,1244,40,568324,11173
22,Belgium,60476,N/A,9695,N/A,16751,N/A,34030,55,5219,837,1087369,93835
23,Belarus,57333,N/A,337,N/A,35275,N/A,21721,92,6067,36,821887,86978
24,Sweden,56043,N/A,5053,N/A,N/A,N/A,N/A,272,5550,500,385659,38194
25,Egypt,52211,N/A,2017,N/A,13928,N/A,36266,41,511,20,135000,1320
26,Ecuador,49731,N/A,4156,N/A,24446,N/A,21129,234,2820,236,137930,7822
27,Netherlands,49426,N/A,6081,N/A,N/A,N/A,N/A,57,2885,355,517317,30193
28,UAE,44145,N/A,300,N/A,30996,N/A,12849,1,4465,30,3038000,307291
29,Indonesia,43803,N/A,2373,N/A,17349,N/A,24081,N/A,160,9,601239,2199
30,Singapore,41615,N/A,26,N/A,33459,N/A,8130,2,7115,4,576189,98512
31,Argentina,39570,N/A,979,N/A,11851,N/A,26740,353,876,22,264604,5856
32,Kuwait,38678,N/A,313,N/A,30190,N/A,8175,193,9062,73,349412,81861
33,Portugal,38464,N/A,1527,N/A,24477,N/A,12460,67,3772,150,1047109,102683
34,Ukraine,34984,N/A,985,N/A,16033,N/A,17966,343,800,23,542247,12397
35,Poland,31316,N/A,1334,N/A,15698,N/A,14284,87,827,35,1297676,34287
36,Switzerland,31235,N/A,1956,N/A,28900,N/A,379,17,3610,226,493843,57074
37,Philippines,28459,N/A,1130,N/A,7378,N/A,19951,417,260,10,565248,5161
38,Afghanistan,27878,N/A,548,N/A,7962,N/A,19368,19,717,14,62492,1607
39,Oman,27670,N/A,125,N/A,13974,N/A,13571,102,5424,25,151784,29754
40,Iraq,27352,N/A,925,N/A,12205,N/A,14222,212,681,23,425192,10580
41,Ireland,25368,N/A,1714,N/A,22698,N/A,956,16,5139,347,396584,80346
42,Dominican Republic,25068,N/A,647,N/A,14605,N/A,9816,167,2312,60,119319,11003
