#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
1,USA,3291786,N/A,136671,N/A,1460495,N/A,1694620,15777,9943,413,41010213,123877
2,Brazil,1804338,N/A,70524,N/A,1213512,+27916,520302,8318,8487,332,4572796,21509
3,India,822674,+71,22152,+8,516308,+102,284214,8944,596,16,11307002,8191
4,Russia,713936,N/A,11017,N/A,489068,N/A,213851,2300,4892,75,22388195,153411
5,Peru,319646,N/A,11500,N/A,210638,N/A,97508,1309,9691,349,1883326,57101
6,Chile,309274,N/A,6781,N/A,278053,N/A,24440,1990,16175,355,1255359,65655
7,Spain,300988,N/A,28403,N/A,N/A,N/A,N/A,617,6438,607,5734599,122651
8,Mexico,289174,+6891,34191,+665,177097,+4867,77886,378,2242,265,715295,5546
9,UK,288133,N/A,44650,N/A,N/A,N/A,N/A,185,4244,658,11538519,169945
10,Iran,252720,N/A,12447,N/A,215015,N/A,25258,3319,3008,148,1922501,22882
11,South Africa,250687,N/A,3860,N/A,118232,N/A,128595,539,4226,65,2057232,34676
12,Pakistan,246351,+2752,5123,+65,153134,+4042,88094,2156,1115,23,1538427,6962
13,Italy,242639,N/A,34938,N/A,194273,N/A,13428,65,4013,578,5854621,96836
14,Saudi Arabia,226486,N/A,2151,N/A,163026,N/A,61309,2220,6503,62,2179448,62581
15,Turkey,210965,N/A,5323,N/A,191883,N/A,13759,1182,2501,63,3881410,46009
16,Germany,199588,N/A,9130,N/A,184500,+500,5958,278,2382,109,6376054,76094
17,Bangladesh,178443,N/A,2275,N/A,86406,N/A,89762,1,1083,14,921272,5593
18,France,170752,N/A,30004,N/A,78388,N/A,62360,496,2616,460,1384633,21211
19,Colombia,140776,N/A,4925,N/A,58800,N/A,77051,875,2766,97,968465,19028
20,Canada,107126,N/A,8759,N/A,70901,N/A,27466,2155,2838,232,3142702,83249
21,Qatar,102630,N/A,146,N/A,98233,N/A,4251,139,36552,52,404868,144194
22,Argentina,94060,N/A,1774,N/A,38984,N/A,53302,688,2081,39,445733,9860
23,Egypt,80235,N/A,3702,N/A,23274,N/A,53259,41,784,36,135000,1319
24,Sweden,74898,N/A,5526,N/A,N/A,N/A,N/A,85,7415,547,600019,59402
25,Iraq,72460,N/A,2960,N/A,41380,N/A,28120,404,1801,74,661090,16429
26,Indonesia,72347,N/A,3469,N/A,33529,N/A,35349,N/A,264,13,1015678,3712
27,Ecuador,65018,N/A,4939,N/A,29577,N/A,30502,308,3684,280,174769,9902
28,Belarus,64604,N/A,454,N/A,54254,N/A,9896,89,6837,48,1111614,117641
29,Belgium,62357,N/A,9781,N/A,17179,N/A,35397,36,5380,844,1349831,116455
30,Kazakhstan,56455,+1708,264,N/A,32500,+685,23691,221,3006,14,1694586,90223
31,UAE,54050,N/A,330,N/A,43969,N/A,9751,1,5463,33,3816000,385717
32,Oman,53614,N/A,244,N/A,34225,N/A,19145,130,10494,48,231211,45257
33,Kuwait,53580,N/A,383,N/A,43214,N/A,9983,157,12542,90,427006,99955
34,Philippines,52914,N/A,1360,N/A,13230,N/A,38324,333,483,12,935763,8537
35,Ukraine,52043,N/A,1345,N/A,24800,N/A,25898,101,1190,31,773831,17698
36,Netherlands,50840,N/A,6136,N/A,N/A,N/A,N/A,20,2967,358,681931,39795
37,Portugal,45679,N/A,1646,N/A,30350,N/A,13683,66,4480,161,1316425,129115
38,Singapore,45613,N/A,26,N/A,41780,N/A,3807,1,7795,4,866414,148066
39,Bolivia,45565,+1452,1702,+64,13918,+564,29945,71,3902,146,102477,8776
40,Panama,43257,N/A,863,N/A,21426,N/A,20968,160,10022,200,158669,36761
41,Dominican Republic,41915,N/A,864,N/A,20830,N/A,20221,226,3863,80,182263,16797
42,Poland,37216,N/A,1562,N/A,26048,N/A,9606,66,983,41,1720428,45459
43,Israel,36266,N/A,351,N/A,18613,N/A,17302,130,3943,38,1192111,129611
44,Afghanistan,34351,+157,975,+4,21105,+223,12271,31,882,25,79282,2036
45,Switzerland,32690,N/A,1966,N/A,29400,N/A,1324,16,3776,227,670484,77456
46,Bahrain,32039,N/A,104,N/A,27213,N/A,4722,53,18821,61,649020,381265
47,Armenia,31392,+489,559,+13,19419,+710,11414,10,10593,189,133104,44916
48,Romania,31381,N/A,1847,N/A,21129,N/A,8405,236,1632,96,824343,42860
49,Nigeria,31323,N/A,709,N/A,12795,N/A,17819,7,152,3,175656,852
50,Guatemala,27619,N/A,1139,N/A,4024,N/A,22456,5,1541,64,64590,3604
51,Honduras,27053,+669,750,+46,2850,+71,23453,58,2730,76,49308,4977
52,Ireland,25589,N/A,1744,N/A,23364,N/A,481,9,5181,353,491648,99541
53,Ghana,23834,N/A,135,N/A,19212,N/A,4487,8,767,4,322910,10388
54,Azerbaijan,22990,N/A,292,N/A,14093,N/A,8605,66,2267,29,552311,54460
55,Japan,20719,N/A,982,N/A,17652,N/A,2085,31,164,8,540411,4273
56,Moldova,18924,N/A,635,N/A,12188,N/A,6101,391,4692,157,101180,25084
