Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M Pop,Continent
World,4098092,+88801,280223,+4247,1435311,2382558,47690,526,35.9,N/A,N/A,All
USA,1347125,+25340,80036,+1421,237205,1029884,16816,4070,242,8917762,26942,North America
Spain,262783,+2666,26478,+179,173157,63148,1741,5620,566,2467761,52781,Europe
Italy,218268,+1083,30395,+194,103031,84842,1034,3610,503,2514234,41584,Europe
UK,215260,+3896,31587,+346,N/A,183329,1559,3171,465,1728443,25461,Europe
Russia,198676,+10817,1827,+104,31916,164933,2300,1361,13,5221964,35783,Europe
France,176658,+579,26310,+80,56038,94310,2812,2706,403,1384633,21213,Europe
Germany,171324,+736,7549,+39,143300,20475,1650,2045,90,2755770,32891,Europe
Brazil,156061,+10169,10656,+664,61685,83720,8318,734,50,339552,1597,South America
Turkey,137115,+1546,3739,+50,89480,43896,1168,1626,44,1334411,15822,Asia
Iran,106220,+1529,6589,+48,85064,14567,2696,1265,78,573220,6825,Asia
Canada,67702,+1268,4693,+124,31249,31760,502,1794,124,1068000,28297,North America
Peru,65015,+3168,1814,+100,20246,42955,748,1972,55,494250,14990,South America
India,62808,+3113,2101,+116,19301,41406,N/A,46,2,1523213,1104,Asia
Belgium,52596,+585,8581,+60,13411,30604,502,4538,740,540643,46649,Europe
Netherlands,42382,+289,5422,+63,N/A,36710,541,2473,316,249655,14570,Europe
Saudi Arabia,37136,+1704,239,+10,10144,26753,140,1067,7,433500,12452,Asia
Mexico,31522,+1906,3160,+199,20314,8048,378,244,25,123446,957,North America
Switzerland,30251,+44,1830,+7,26400,2021,101,3495,211,306223,35383,Europe
Ecuador,29071,+253,1717,+13,3433,23921,181,1648,97,83657,4742,South America
Pakistan,28736,+2301,636,+37,7809,20291,111,130,3,270025,1222,Asia
Portugal,27406,+138,1126,+12,2499,23781,120,2688,110,517660,50767,Europe
Chile,27219,+1247,304,+10,12667,14248,544,1424,16,267904,14015,South America
Sweden,25921,+656,3220,+45,4971,17730,425,2567,319,148500,14704,Europe
Ireland,22760,+219,1446,+17,17110,4204,72,4609,293,214761,43493,Europe
Singapore,22460,+753,20,N/A,2296,20144,23,3839,3,175604,30016,Asia
Belarus,22052,+951,126,+5,6050,15876,92,2334,13,251771,26644,Europe
Qatar,21331,+1130,13,+1,2449,18869,72,7404,5,124554,43232,Asia
UAE,17417,+624,185,+11,4295,12937,1,1761,19,1200000,121330,Asia
Israel,16454,+18,247,+2,11376,4831,78,1901,29,451028,52109,Asia
Austria,15833,+59,615,+1,13928,1290,79,1758,68,311690,34608,Europe
Japan,15663,+88,607,+17,5906,9150,287,124,5,211997,1676,Asia
Poland,15651,+285,785,+9,5437,9429,160,414,21,460686,12172,Europe
Romania,15131,+320,939,+16,6912,7280,245,787,49,248056,12894,Europe
Ukraine,14710,+515,376,+15,2909,11425,190,336,9,167107,3821,Europe
Bangladesh,13770,+636,214,+8,2414,11142,1,84,1,116919,710,Asia
Indonesia,13645,+533,959,+16,2607,10079,N/A,50,4,150887,552,Asia
S. Korea,10840,+18,256,N/A,9568,1016,55,211,5,660030,12874,Asia
Philippines,10610,+147,704,+8,1842,8064,31,97,6,157730,1439,Asia
Colombia,10495,+444,445,+17,2569,7481,130,206,9,139739,2746,South America
Denmark,10319,+101,526,+4,8093,1700,39,1782,91,308984,53345,Europe
Serbia,10032,+89,213,+4,2732,7087,43,1148,24,134533,15397,Europe
Dominican Republic,9882,+506,385,+5,2584,6913,134,911,35,40591,3742,North America
South Africa,9420,+525,186,+8,3983,5251,77,159,3,324079,5464,Africa
Egypt,8964,+488,514,+11,2002,6448,41,88,5,90000,879,Africa
Norway,8099,+29,219,+1,32,7848,24,1494,40,195921,36140,Europe
Czechia,8095,+18,276,+3,4447,3372,47,756,26,298649,27888,Europe
Panama,8070,+202,231,+6,886,6953,85,1870,54,40356,9353,North America
Kuwait,7623,+415,49,+2,2622,4952,95,1785,11,196397,45988,Asia
Australia,6929,+15,97,N/A,6135,697,19,272,4,795456,31194,Australia/Oceania
Malaysia,6589,+54,108,+1,4929,1552,18,204,3,245102,7573,Asia
Morocco,5910,+199,186,N/A,2461,3263,1,160,5,63059,1708,Africa
Finland,5880,+142,265,+5,4000,1615,45,1061,48,119100,21495,Europe
Argentina,5766,+155,300,+7,1728,3738,148,128,7,80729,1786,South America
Algeria,5558,+189,494,+6,2546,2518,22,127,11,6500,148,Africa
Kazakhstan,4975,+141,31,N/A,1776,3168,31,265,2,385104,20510,Asia
Moldova,4867,+139,161,+11,1925,2781,237,1207,40,20447,5069,Europe
Bahrain,4774,+330,8,N/A,2055,2711,2,2806,5,178353,104816,Asia
Ghana,4263,+251,22,+4,378,3863,5,137,0.7,155201,4995,Africa
Nigeria,4151,+239,128,+11,745,3278,4,20,0.6,23835,116,Africa
Afghanistan,4033,+255,115,+6,502,3416,7,104,3,15560,400,Asia
Luxembourg,3877,+6,101,+1,3550,226,15,6194,161,54463,87005,Europe
Oman,3224,+112,17,+1,1068,2139,17,631,3,50000,9791,Asia
Hungary,3213,+35,405,+13,904,1904,74,333,42,103258,10689,Europe
Armenia,3175,+146,44,+1,1267,1864,10,1071,15,30397,10258,Asia
Thailand,3004,+4,56,+1,2787,161,61,43,0.8,227860,3264,Asia
Greece,2710,+19,151,+1,1374,1185,28,260,14,97384,9343,Europe
Iraq,2679,+76,107,+3,1702,870,N/A,67,3,124920,3106,Asia
Azerbaijan,2422,+143,31,+3,1620,771,29,239,3,188950,18636,Asia
Uzbekistan,2349,+24,10,N/A,1846,493,8,70,0.3,325000,9710,Asia
Cameroon,2274,+7,108,N/A,1232,934,12,86,4,N/A,N/A,Africa
Bolivia,2266,+185,106,+4,237,1923,3,194,9,7651,655,South America
Croatia,2176,+15,87,+1,1726,363,13,530,21,44218,10771,Europe
Bosnia and Herzegovina,2090,+20,102,+4,1059,929,4,637,31,39989,12189,Europe
Guinea,2042,+33,11,N/A,698,1333,N/A,155,0.8,N/A,N/A,Africa
Bulgaria,1921,+49,90,+4,422,1409,56,276,13,56105,8074,Europe
Iceland,1801,N/A,10,N/A,1773,18,N/A,5278,29,53260,156076,Europe
Honduras,1771,+86,107,+2,192,1472,10,179,11,5653,571,North America
Cuba,1754,+13,74,N/A,1140,540,8,155,7,63560,5612,North America
Estonia,1733,+8,60,+4,747,926,5,1306,45,62720,47281,Europe
Ivory Coast,1667,+65,21,+1,769,877,N/A,63,0.8,12312,467,Africa
Senegal,1634,+83,17,+4,643,974,6,98,1,18969,1133,Africa
North Macedonia,1622,+36,91,+1,1112,419,21,779,44,18821,9034,Europe
New Zealand,1492,+2,21,N/A,1368,103,2,309,4,183039,37957,Australia/Oceania
Slovakia,1455,N/A,26,N/A,919,510,5,267,5,118371,21681,Europe
Slovenia,1454,+4,101,+1,255,1098,10,699,49,62203,29921,Europe
Lithuania,1444,+8,49,N/A,828,567,17,530,18,180332,66243,Europe
Djibouti,1189,+54,3,N/A,834,352,N/A,1203,3,15056,15239,Africa
Sudan,1164,+53,64,+5,119,981,N/A,27,1,N/A,N/A,Africa
Hong Kong,1045,N/A,4,N/A,967,74,1,139,0.5,168291,22448,Asia
Tunisia,1030,N/A,45,N/A,638,347,24,87,4,27420,2320,Africa
Somalia,997,+69,48,+4,110,839,2,63,3,N/A,N/A,Africa
Mayotte,988,+134,11,+1,492,485,7,3622,40,4000,14662,Africa
DRC,937,+74,39,+3,130,768,N/A,10,0.4,N/A,N/A,Africa
Kyrgyzstan,931,+25,12,N/A,658,261,13,143,2,59490,9118,Asia
Latvia,930,+2,18,N/A,464,448,2,493,10,75571,40065,Europe
Guatemala,900,+68,24,+1,101,775,5,50,1,7200,402,North America
Cyprus,892,+1,15,N/A,401,476,10,739,12,74746,61909,Asia
Albania,856,+6,31,N/A,627,198,7,297,11,10268,3568,Europe
Sri Lanka,847,+12,9,N/A,260,578,1,40,0.4,33899,1583,Asia
Niger,815,+20,45,+1,617,153,N/A,34,2,5515,228,Africa
Lebanon,809,+13,26,N/A,234,549,4,119,4,49990,7324,Asia
Maldives,790,+46,3,N/A,29,758,2,1461,6,11775,21784,Asia
El Salvador,784,+42,17,+1,276,491,4,121,3,39079,6025,North America
Costa Rica,780,+7,6,N/A,480,294,6,153,1,16517,3242,North America
Andorra,754,+2,48,+1,545,161,14,9759,621,1673,21653,Europe
Burkina Faso,748,+4,48,N/A,569,131,N/A,36,2,N/A,N/A,Africa
