Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M Pop,Continent
World,4100788,+2500,280432,+208,1441478,2378878,47681,526,36.0,N/A,N/A,All
USA,1347309,N/A,80037,N/A,238078,1029194,16816,4070,242,8918263,26943,North America
Spain,262783,N/A,26478,N/A,173157,63148,1741,5620,566,2467761,52781,Europe
Italy,218268,N/A,30395,N/A,103031,84842,1034,3610,503,2514234,41584,Europe
UK,215260,N/A,31587,N/A,N/A,183329,1559,3171,465,1728443,25461,Europe
Russia,198676,N/A,1827,N/A,31916,164933,2300,1361,13,5221964,35783,Europe
France,176658,N/A,26310,N/A,56038,94310,2812,2706,403,1384633,21213,Europe
Germany,171324,N/A,7549,N/A,143300,20475,1650,2045,90,2755770,32891,Europe
Brazil,156061,N/A,10656,N/A,61685,83720,8318,734,50,339552,1597,South America
Turkey,137115,N/A,3739,N/A,89480,43896,1168,1626,44,1334411,15822,Asia
Iran,106220,N/A,6589,N/A,85064,14567,2696,1265,78,573220,6825,Asia
Canada,67702,N/A,4693,N/A,31249,31760,502,1794,124,1068000,28297,North America
Peru,65015,,1814,N/A,20246,42955,748,1972,55,494250,14990,South America
India,62808,N/A,2101,N/A,19301,41406,N/A,46,2,1523213,1104,Asia
Belgium,52596,N/A,8581,N/A,13411,30604,502,4538,740,540643,46649,Europe
Netherlands,42382,N/A,5422,N/A,N/A,36710,541,2473,316,249655,14570,Europe
Saudi Arabia,37136,N/A,239,N/A,10144,26753,140,1067,7,433500,12452,Asia
Mexico,33460,+1938,3353,+193,21824,8283,378,260,26,128148,994,North America
Switzerland,30251,N/A,1830,N/A,26400,2021,101,3495,211,306223,35383,Europe
Ecuador,29071,N/A,1717,N/A,3433,23921,181,1648,97,83657,4742,South America
Pakistan,28736,N/A,636,N/A,7809,20291,111,130,3,270025,1222,Asia
Portugal,27406,N/A,1126,N/A,2499,23781,120,2688,110,517660,50767,Europe
Chile,27219,N/A,304,N/A,12667,14248,544,1424,16,267904,14015,South America
Sweden,25921,N/A,3220,N/A,4971,17730,425,2567,319,148500,14704,Europe
Ireland,22760,N/A,1446,N/A,17110,4204,72,4609,293,214761,43493,Europe
Singapore,22460,N/A,20,N/A,2296,20144,23,3839,3,175604,30016,Asia
Belarus,22052,N/A,126,N/A,6050,15876,92,2334,13,251771,26644,Europe
Qatar,21331,N/A,13,N/A,2449,18869,72,7404,5,124554,43232,Asia
UAE,17417,N/A,185,N/A,4295,12937,1,1761,19,1200000,121330,Asia
Israel,16454,N/A,247,N/A,11376,4831,78,1901,29,451028,52109,Asia
Austria,15833,N/A,615,N/A,13928,1290,79,1758,68,311690,34608,Europe
Japan,15663,N/A,607,N/A,5906,9150,287,124,5,211997,1676,Asia
Poland,15651,N/A,785,N/A,5437,9429,160,414,21,460686,12172,Europe
Romania,15131,N/A,939,N/A,6912,7280,245,787,49,248056,12894,Europe
Ukraine,14710,N/A,376,N/A,2909,11425,190,336,9,167107,3821,Europe
Bangladesh,13770,N/A,214,N/A,2414,11142,1,84,1,116919,710,Asia
Indonesia,13645,N/A,959,N/A,2607,10079,N/A,50,4,150887,552,Asia
S. Korea,10874,+34,256,N/A,9610,1008,55,212,5,663886,12949,Asia
Philippines,10610,N/A,704,N/A,1842,8064,31,97,6,157730,1439,Asia
Colombia,10495,N/A,445,N/A,2569,7481,130,206,9,144912,2848,South America
Denmark,10319,N/A,526,N/A,8093,1700,39,1782,91,308984,53345,Europe
Serbia,10032,N/A,213,N/A,2732,7087,43,1148,24,134533,15397,Europe
Dominican Republic,9882,N/A,385,N/A,2584,6913,134,911,35,40591,3742,North America
South Africa,9420,N/A,186,N/A,3983,5251,77,159,3,324079,5464,Africa
Egypt,8964,N/A,514,N/A,2002,6448,41,88,5,90000,879,Africa
Panama,8282,+212,237,+6,4501,3544,85,1919,55,40356,9353,North America
Norway,8099,N/A,219,N/A,32,7848,24,1494,40,195921,36140,Europe
Czechia,8095,N/A,276,N/A,4447,3372,47,756,26,298649,27888,Europe
Kuwait,7623,N/A,49,N/A,2622,4952,95,1785,11,196397,45988,Asia
Australia,6931,+2,97,N/A,6135,699,17,272,4,805168,31575,Australia/Oceania
Malaysia,6589,N/A,108,N/A,4929,1552,18,204,3,245102,7573,Asia
Morocco,5910,N/A,186,N/A,2461,3263,1,160,5,63059,1708,Africa
Finland,5880,N/A,265,N/A,4000,1615,45,1061,48,119100,21495,Europe
Argentina,5776,N/A,300,N/A,1728,3748,148,128,7,80729,1786,South America
Algeria,5558,N/A,494,N/A,2546,2518,22,127,11,6500,148,Africa
Kazakhstan,4975,N/A,31,N/A,1776,3168,31,265,2,385104,20510,Asia
Moldova,4867,N/A,161,N/A,1925,2781,237,1207,40,20447,5069,Europe
Bahrain,4774,N/A,8,N/A,2055,2711,2,2806,5,178353,104816,Asia
Ghana,4263,N/A,22,N/A,378,3863,5,137,0.7,155201,4995,Africa
Nigeria,4151,N/A,128,N/A,745,3278,4,20,0.6,23835,116,Africa
Afghanistan,4033,N/A,115,N/A,502,3416,7,104,3,15560,400,Asia
Luxembourg,3877,N/A,101,N/A,3550,226,15,6194,161,54463,87005,Europe
Oman,3224,N/A,17,N/A,1068,2139,17,631,3,50000,9791,Asia
Hungary,3213,N/A,405,N/A,904,1904,74,333,42,103258,10689,Europe
Armenia,3175,N/A,44,N/A,1267,1864,10,1071,15,30397,10258,Asia
Thailand,3004,N/A,56,N/A,2787,161,61,43,0.8,227860,3264,Asia
Greece,2710,N/A,151,N/A,1374,1185,28,260,14,97384,9343,Europe
Iraq,2679,N/A,107,N/A,1702,870,N/A,67,3,124920,3106,Asia
Bolivia,2437,+171,114,+8,258,2065,3,209,10,7651,655,South America
Azerbaijan,2422,N/A,31,N/A,1620,771,29,239,3,188950,18636,Asia
Uzbekistan,2349,N/A,10,N/A,1846,493,8,70,0.3,325000,9710,Asia
Cameroon,2274,N/A,108,N/A,1232,934,12,86,4,N/A,N/A,Africa
Croatia,2176,N/A,87,N/A,1726,363,13,530,21,44218,10771,Europe
Bosnia and Herzegovina,2090,N/A,102,N/A,1059,929,4,637,31,39989,12189,Europe
Guinea,2042,N/A,11,N/A,698,1333,N/A,155,0.8,N/A,N/A,Africa
Bulgaria,1921,N/A,90,N/A,422,1409,56,276,13,56105,8074,Europe
Honduras,1830,+59,108,+1,195,1527,10,185,11,5653,571,North America
Iceland,1801,N/A,10,N/A,1773,18,N/A,5278,29,53260,156076,Europe
Cuba,1754,N/A,74,N/A,1140,540,8,155,7,63560,5612,North America
Estonia,1733,N/A,60,N/A,747,926,5,1306,45,62720,47281,Europe
Ivory Coast,1667,N/A,21,N/A,769,877,N/A,63,0.8,12312,467,Africa
Senegal,1634,N/A,17,N/A,643,974,6,98,1,18969,1133,Africa
North Macedonia,1622,N/A,91,N/A,1112,419,21,779,44,18821,9034,Europe
New Zealand,1494,+2,21,N/A,1371,102,2,310,4,190326,39468,Australia/Oceania
Slovakia,1455,N/A,26,N/A,919,510,5,267,5,118371,21681,Europe
